smiles,INCHI KEY
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,MKNGJNHUZSCTJU-UHFFFAOYSA-N
Cc1cccc(Nc2ncnc3cc(NCCCN4CCN(C)CC4)ncc23)c1,ZSWVFFAVTCICJD-UHFFFAOYSA-N
CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,BZUIGXZUUGQBLL-UHFFFAOYSA-N
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,MUDNFYFQYCKQEI-UHFFFAOYSA-N
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccnc5)c(Cl)c4)c23)CC1,VTBGXVHIEWGJBV-UHFFFAOYSA-N
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)c2cc1OCCCN6CCN(C)CC6,CYXVEZJWVJIFPJ-UHFFFAOYSA-N
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)ncnc2cc1OCCCN6CCN(C)CC6,NQHMMDRPRXVCLT-UHFFFAOYSA-N
COc1cc2c(N(C)c3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN6CCN(C)CC6,NSXLLHJZQNFGCH-UHFFFAOYSA-N
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(C)c3)ncnc2cc1OCCCN6CCN(C)CC6,MZWALFBOTNMRTP-UHFFFAOYSA-N
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)cc4)c23)CC1,BUMADWVVVPZKNG-UHFFFAOYSA-N
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,HHHOBSDBLSOFLQ-UHFFFAOYSA-N
CN1CCN(CCCNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)CC1,KTYKVNHDFASIGH-UHFFFAOYSA-N
Cc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,YTEVJLKCRWIESE-UHFFFAOYSA-N
